X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
398099.409999996,135704.829999998,25148261,2025/09/28 14:53:22+00,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF 7TH STREET SW,398099.41,135704.83,2,2C,1.0,102.0,Cluster 45,980000 1,980000.0,Precinct 129,38.8891836578,-77.0219070465,,2025/09/27 02:00:00+00,2025/09/27 02:20:00+00,809903388,
394459.18,141888.039999999,25143893,2025/09/20 14:17:42+00,DAY,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2.0,203.0,Cluster 12,001303 1,1303.0,Precinct 34,38.9448686362,-77.0639158491,,2025/09/20 13:17:00+00,2025/09/20 13:21:00+00,809903449,
393455.549999997,141389.059999999,25145213,2025/09/23 00:25:30+00,EVENING,OTHERS,THEFT F/AUTO,3901 - 3999 BLOCK OF WISCONSIN AVENUE NW,393455.55,141389.06,3,3A,2.0,204.0,Cluster 14,001002 2,1002.0,Precinct 29,38.9403667792,-77.0754884077,,2025/09/20 20:00:00+00,2025/09/21 14:00:00+00,809903565,
400930.390000001,136927.66,25423882,2025/09/05 13:01:15+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF H STREET NE,400930.39,136927.66,6,6A,1.0,104.0,Cluster 25,008410 1,8410.0,Precinct 82,38.9002009211,-76.9892742544,,2025/09/05 00:30:00+00,2025/09/05 03:00:00+00,809903570,
393528.270000003,141219.579999998,25423911,2025/09/09 16:03:43+00,DAY,OTHERS,THEFT F/AUTO,3700 - 3899 BLOCK OF WISCONSIN AVENUE NW,393528.27,141219.58,3,3A,2.0,203.0,Cluster 15,000600 4,600.0,Precinct 29,38.938840593,-77.0746480046,,2025/09/07 20:45:00+00,2025/09/07 22:15:00+00,809903571,
397430.659999996,136664.370000001,25142420,2025/09/17 21:41:36+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2.0,209.0,Cluster 8,005802 1,5802.0,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/09/17 20:19:00+00,2025/09/17 20:39:00+00,809903601,
397802.409999996,139380.170000002,25143165,2025/09/19 12:57:51+00,DAY,OTHERS,THEFT F/AUTO,2300 - 2599 BLOCK OF SHERMAN AVENUE NW,397802.41,139380.17,1,1E,3.0,304.0,Cluster 2,003500 2,3500.0,Precinct 37,38.9222917098,-77.0253421609,,2025/09/19 06:15:00+00,2025/09/19 07:03:00+00,809903602,
397228.969999999,146406.100000001,25148273,2025/09/28 15:29:32+00,DAY,OTHERS,THEFT F/AUTO,1320 - 1399 BLOCK OF LOCUST ROAD NW,397228.97,146406.1,4,4A,4.0,401.0,Cluster 16,001600 1,1600.0,Precinct 62,38.9855815381,-77.0319833402,,2025/09/28 13:29:00+00,,809903746,
397921.520000003,138712.809999999,25141621,2025/09/16 08:40:46+00,MIDNIGHT,OTHERS,ROBBERY,1900 - 1999 BLOCK OF 9TH STREET NW,397921.52,138712.81,1,1B,3.0,305.0,Cluster 3,004402 2,4402.0,Precinct 137,38.9162802028,-77.0239665883,,2025/09/16 06:00:00+00,2025/09/16 08:30:00+00,809903775,
399111.25,136474.859999999,25145943,2025/09/24 13:08:23+00,DAY,OTHERS,THEFT/OTHER,1 - 49 BLOCK OF E STREET NW,399111.25,136474.86,6,6E,1.0,102.0,Cluster 8,005900 2,5900.0,Precinct 1,38.8961219782,-77.0102451244,DOWNTOWN,2025/09/24 12:05:00+00,2025/09/24 13:04:00+00,809903776,
